"","X","yearID","lgID","teamID","franchID","Rank","G","R","AB","H","HR"
"1496",1496,1967,"NL","HOU","HOU",9,162,626,5506,1372,93
"1497",1497,1967,"NL","NYN","NYM",10,162,498,5417,1288,83
"1498",1498,1968,"AL","DET","DET",1,164,671,5490,1292,185
"1499",1499,1968,"AL","BAL","BAL",2,162,579,5275,1187,133
"1500",1500,1968,"AL","CLE","CLE",3,162,516,5416,1266,75
"1501",1501,1968,"AL","BOS","BOS",4,162,614,5303,1253,125
"1502",1502,1968,"AL","NYA","NYY",5,164,536,5310,1137,109
"1503",1503,1968,"AL","OAK","OAK",6,163,569,5406,1300,94
"1504",1504,1968,"AL","MIN","MIN",7,162,562,5373,1274,105
"1505",1505,1968,"AL","CAL","ANA",8,162,498,5331,1209,83
"1506",1506,1968,"AL","CHA","CHW",8,162,463,5405,1233,71
"1507",1507,1968,"AL","WS2","TEX",10,161,524,5400,1208,124
"1508",1508,1968,"NL","SLN","STL",1,162,583,5561,1383,73
"1509",1509,1968,"NL","SFN","SFG",2,163,599,5441,1301,108
"1510",1510,1968,"NL","CHN","CHC",3,163,612,5458,1319,130
"1511",1511,1968,"NL","CIN","CIN",4,163,690,5767,1573,106
"1512",1512,1968,"NL","ATL","ATL",5,163,514,5552,1399,80
"1513",1513,1968,"NL","PIT","PIT",6,163,583,5569,1404,80
"1514",1514,1968,"NL","LAN","LAD",7,162,470,5354,1234,67
"1515",1515,1968,"NL","PHI","PHI",7,162,543,5372,1253,100
"1516",1516,1968,"NL","NYN","NYM",9,163,473,5503,1252,81
"1517",1517,1968,"NL","HOU","HOU",10,162,510,5336,1233,66
"1518",1518,1969,"AL","BAL","BAL",1,162,779,5518,1465,175
"1519",1519,1969,"AL","DET","DET",2,162,701,5441,1316,182
"1520",1520,1969,"AL","BOS","BOS",3,162,743,5494,1381,197
"1521",1521,1969,"AL","WS2","TEX",4,162,694,5447,1365,148
"1522",1522,1969,"AL","NYA","NYY",5,162,562,5308,1247,94
"1523",1523,1969,"AL","CLE","CLE",6,161,573,5365,1272,119
"1524",1524,1969,"AL","MIN","MIN",1,162,790,5677,1520,163
"1525",1525,1969,"AL","OAK","OAK",2,162,740,5614,1400,148
"1526",1526,1969,"AL","CAL","ANA",3,163,528,5316,1221,88
"1527",1527,1969,"AL","KCA","KCR",4,163,586,5462,1311,98
"1528",1528,1969,"AL","CHA","CHW",5,162,625,5450,1346,112
"1529",1529,1969,"AL","SE1","MIL",6,163,639,5444,1276,125
"1530",1530,1969,"NL","NYN","NYM",1,162,632,5427,1311,109
"1531",1531,1969,"NL","CHN","CHC",2,163,720,5530,1400,142
"1532",1532,1969,"NL","PIT","PIT",3,162,725,5626,1557,119
"1533",1533,1969,"NL","SLN","STL",4,162,595,5536,1403,90
"1534",1534,1969,"NL","PHI","PHI",5,162,645,5408,1304,137
"1535",1535,1969,"NL","MON","WSN",6,162,582,5419,1300,125
"1536",1536,1969,"NL","ATL","ATL",1,162,691,5460,1411,141
"1537",1537,1969,"NL","SFN","SFG",2,162,713,5474,1325,136
"1538",1538,1969,"NL","CIN","CIN",3,163,798,5634,1558,171
"1539",1539,1969,"NL","LAN","LAD",4,162,645,5532,1405,97
"1540",1540,1969,"NL","HOU","HOU",5,162,676,5348,1284,104
"1541",1541,1969,"NL","SDN","SDP",6,162,468,5357,1203,99
"1542",1542,1970,"AL","BAL","BAL",1,162,792,5545,1424,179
"1543",1543,1970,"AL","NYA","NYY",2,163,680,5492,1381,111
"1544",1544,1970,"AL","BOS","BOS",3,162,786,5535,1450,203
"1545",1545,1970,"AL","DET","DET",4,162,666,5377,1282,148
"1546",1546,1970,"AL","CLE","CLE",5,162,649,5463,1358,183
"1547",1547,1970,"AL","WS2","TEX",6,162,626,5460,1302,138
"1548",1548,1970,"AL","MIN","MIN",1,162,744,5483,1438,153
"1549",1549,1970,"AL","OAK","OAK",2,162,678,5376,1338,171
"1550",1550,1970,"AL","CAL","ANA",3,162,631,5532,1391,114
"1551",1551,1970,"AL","KCA","KCR",4,162,611,5503,1341,97
"1552",1552,1970,"AL","ML4","MIL",4,163,613,5395,1305,126
"1553",1553,1970,"AL","CHA","CHW",6,162,633,5514,1394,123
"1554",1554,1970,"NL","PIT","PIT",1,162,729,5637,1522,130
"1555",1555,1970,"NL","CHN","CHC",2,162,806,5491,1424,179
"1556",1556,1970,"NL","NYN","NYM",3,162,695,5443,1358,120
"1557",1557,1970,"NL","SLN","STL",4,162,744,5689,1497,113
"1558",1558,1970,"NL","PHI","PHI",5,161,594,5456,1299,101
"1559",1559,1970,"NL","MON","WSN",6,162,687,5411,1284,136
"1560",1560,1970,"NL","CIN","CIN",1,162,775,5540,1498,191
"1561",1561,1970,"NL","LAN","LAD",2,161,749,5606,1515,87
"1562",1562,1970,"NL","SFN","SFG",3,162,831,5578,1460,165
"1563",1563,1970,"NL","HOU","HOU",4,162,744,5574,1446,129
"1564",1564,1970,"NL","ATL","ATL",5,162,736,5546,1495,160
"1565",1565,1970,"NL","SDN","SDP",6,162,681,5494,1353,172
"1566",1566,1971,"AL","BAL","BAL",1,158,742,5303,1382,158
"1567",1567,1971,"AL","DET","DET",2,162,701,5502,1399,179
"1568",1568,1971,"AL","BOS","BOS",3,162,691,5401,1360,161
"1569",1569,1971,"AL","NYA","NYY",4,162,648,5413,1377,97
"1570",1570,1971,"AL","WS2","TEX",5,159,537,5290,1219,86
"1571",1571,1971,"AL","CLE","CLE",6,162,543,5467,1303,109
"1572",1572,1971,"AL","OAK","OAK",1,161,691,5494,1383,160
"1573",1573,1971,"AL","KCA","KCR",2,161,603,5295,1323,80
"1574",1574,1971,"AL","CHA","CHW",3,162,617,5382,1346,138
"1575",1575,1971,"AL","CAL","ANA",4,162,511,5495,1271,96
"1576",1576,1971,"AL","MIN","MIN",5,160,654,5414,1406,116
"1577",1577,1971,"AL","ML4","MIL",6,161,534,5185,1188,104
"1578",1578,1971,"NL","PIT","PIT",1,162,788,5674,1555,154
"1579",1579,1971,"NL","SLN","STL",2,163,739,5610,1542,95
